Field=#~Integer~#~50|Field=Description~String~Description~68|Field=Quantity~Integer~Quantity~51|Field=Supplier 1~String~Supplier 1~60|Field=Supplier Part Number 1~String~Supplier Part Number 1~60|Field=LibRef~String~LibRef~47|Field=Manufacturer 1~String~Manufacturer 1~62|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~45|Field=Supplier Currency 1~String~Supplier Currency 1~45|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~45|Field=Supplier Stock 1~Integer~Supplier Stock 1~45|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~45|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~53|Field=Footprint~String~Footprint~67|Field=Designator~String~Designator~68|ReportField=Currency~EUR|ReportField=ProductionQuantity~16|ReportField=ProjectFileName~rpi-can-hat.PrjPcb|ReportField=ProjectFullPath~C:\Users\vojislav\OneDrive\IRNAS-Common\Electronics-Development\Agrelaeco\RPi-CAN-HAT\rpi-can-hat\rpi-can-hat.PrjPcb|ReportField=Title~Bill of Materials production For PCB Document [rpi-can-hat.PcbDoc]|ReportField=ReportTime~10:59:20 AM|ReportField=ReportDate~09/11/2018|ReportField=ReportDateTime~09/11/2018 10:59:20 AM|ReportField=OutputName~Bill of Materials production|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~24|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Company~Irnas|ReportField=ProjectTitle~RPi-CAN-HAT|ReportField=Version~v0.1|ReportField=Website~irnas.eu|ReportField=DataSourceFileName~rpi-can-hat.PcbDoc|ReportField=DataSourceFullPath~C:\Users\vojislav\OneDrive\IRNAS-Common\Electronics-Development\Agrelaeco\RPi-CAN-HAT\rpi-can-hat\rpi-can-hat.PcbDoc|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|VISHAY - RCA060310R0FKEA - RES, AUTO, THICK FILM, 10R, 1%, 0603|1|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Dale%26mpn%3DRCA060310R0FKEA%26seller%3DFarnell%26sku%3D2616585%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2616585{URL.TIP}Supplier|10R|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Dale%26mpn%3DRCA060310R0FKEA%26seller%3DFarnell%26sku%3D2616585%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Vishay%20Dale{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Dale%26mpn%3DRCA060310R0FKEA%26seller%3DFarnell%26sku%3D2616585%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}RCA060310R0FKEA{URL.TIP}Manufacturer|EUR|16|0|0.61|0.04|RES0603|R5
2|RES SMD 120 OHM 1% 1/4W 0603|1|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%26mpn%3DCRCW0603120RFKEAHP%26seller%3DFarnell%26sku%3D1738892%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}1738892{URL.TIP}Supplier|120R|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%26mpn%3DCRCW0603120RFKEAHP%26seller%3DFarnell%26sku%3D1738892%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Vishay{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%26mpn%3DCRCW0603120RFKEAHP%26seller%3DFarnell%26sku%3D1738892%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}CRCW0603120RFKEAHP{URL.TIP}Manufacturer|EUR|16|36450|2.26|0.14|RES0603|R6
3|MURATA - GRM188R71C104KA01J - CAP, MLCC, X7R, 0.1UF, 16V, 0603|2|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DGRM188R71C104KA01J%26seller%3DFarnell%26sku%3D2688519%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2688519{URL.TIP}Supplier|100nF|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DGRM188R71C104KA01J%26seller%3DFarnell%26sku%3D2688519%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Murata{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DGRM188R71C104KA01J%26seller%3DFarnell%26sku%3D2688519%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}GRM188R71C104KA01J{URL.TIP}Manufacturer|EUR|32|0|0.64|0.02|CAP0603|C1, C2
4|MURATA - GRM1885C1H200JA01D - CAPACITOR, MLCC, C0G, 20PF, 50V, 0603|2|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DGRM1885C1H200JA01D%26seller%3DFarnell%26sku%3D2456108%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2456108{URL.TIP}Supplier|20pF|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DGRM1885C1H200JA01D%26seller%3DFarnell%26sku%3D2456108%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Murata{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DGRM1885C1H200JA01D%26seller%3DFarnell%26sku%3D2456108%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}GRM1885C1H200JA01D{URL.TIP}Manufacturer|EUR|32|0|2.8|0.09|CAP0603|C3, C4
5|Non-Isolated DC/DC Converters 7.5W 24Vin 5Vout1 1.5A SIP Non-Iso|1|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DOKI-78SR-5%252F1.5-W36-C%26seller%3DFarnell%26sku%3D2102101%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2102101{URL.TIP}Supplier|OKI-78SR-5/1.5-W36-C|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DOKI-78SR-5%252F1.5-W36-C%26seller%3DFarnell%26sku%3D2102101%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Murata{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DOKI-78SR-5%252F1.5-W36-C%26seller%3DFarnell%26sku%3D2102101%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}OKI-78SR-5%2F1.5-W36-C{URL.TIP}Manufacturer|EUR|16|1213|75.71|4.73|DC-DC|U3
6|MULTICOMP - MCMR06X104 JTL - RES, CERAMIC, 100K, 5%, 0.1W, 0603|3|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMulticomp%26mpn%3DMCMR06X104JTL%26seller%3DFarnell%26sku%3D2073357%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2073357{URL.TIP}Supplier|100k|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMulticomp%26mpn%3DMCMR06X104JTL%26seller%3DFarnell%26sku%3D2073357%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Multicomp{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMulticomp%26mpn%3DMCMR06X104JTL%26seller%3DFarnell%26sku%3D2073357%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}MCMR06X104JTL{URL.TIP}Manufacturer|EUR|48|3110|0.38|0.01|RES0603|R1, R2, R3
7|MODULAR JACK|1|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMolex%26mpn%3D44620-0001%26seller%3DFarnell%26sku%3D2782009%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2782009{URL.TIP}Supplier|44620-0001|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMolex%26mpn%3D44620-0001%26seller%3DFarnell%26sku%3D2782009%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Molex{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMolex%26mpn%3D44620-0001%26seller%3DFarnell%26sku%3D2782009%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}44620-0001{URL.TIP}Manufacturer|EUR|16|1091|11.02|0.69|EThernet conn|P2
8|MICROCHIP         MCP2515-I/SO             CAN Bus, Controller, SPI, 3, 2, 2.7 V, 5.5 V, SOIC|1|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMicrochip%26mpn%3DMCP2515-I%252FSO%26seller%3DFarnell%26sku%3D1292239%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}1292239{URL.TIP}Supplier|MCP2515-I/SO|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMicrochip%26mpn%3DMCP2515-I%252FSO%26seller%3DFarnell%26sku%3D1292239%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Microchip{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMicrochip%26mpn%3DMCP2515-I%252FSO%26seller%3DFarnell%26sku%3D1292239%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}MCP2515-I%2FSO{URL.TIP}Manufacturer|EUR|16|2624|23.2|1.45|SOIC127P1030X264-18N|U1
9|MICROCHIP         MCP2551-I/SN             CAN Bus, Transceiver, CAN, 1, 1, 4.5 V, 5.5 V, SOIC|1|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMicrochip%26mpn%3DMCP2551-I%252FSN%26seller%3DFarnell%26sku%3D9758569%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}9758569{URL.TIP}Supplier|MCP2551-I/SN|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMicrochip%26mpn%3DMCP2551-I%252FSN%26seller%3DFarnell%26sku%3D9758569%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Microchip{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMicrochip%26mpn%3DMCP2551-I%252FSN%26seller%3DFarnell%26sku%3D9758569%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}MCP2551-I%2FSN{URL.TIP}Manufacturer|EUR|16|27516|13|0.81|SOIC127P600X175-8N|U2
10|4 Positions Header, Shrouded Connector 0.098" (2.50mm) Through Hole Tin|2|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DJST%26mpn%3DB4B-XH-A%2528LF%2529%2528SN%2529%26seller%3DFarnell%26sku%3D1516278%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}1516278{URL.TIP}Supplier|B4B-XH-A(LF)(SN)|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DJST%26mpn%3DB4B-XH-A%2528LF%2529%2528SN%2529%26seller%3DFarnell%26sku%3D1516278%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}JST{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DJST%26mpn%3DB4B-XH-A%2528LF%2529%2528SN%2529%26seller%3DFarnell%26sku%3D1516278%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}B4B-XH-A(LF)(SN){URL.TIP}Manufacturer|GBP||121703|||JST-xH|P4, P5
